Time,Time Code,Country Name,Country Code,Rule of Law: Estimate [RL.EST],Rule of Law: Number of Sources [RL.NO.SRC],Rule of Law: Percentile Rank [RL.PER.RNK],"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval [RL.PER.RNK.LOWER]","Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval [RL.PER.RNK.UPPER]",Rule of Law: Standard Error [RL.STD.ERR]
2000,YR2000,Sierra Leone,SLE,-1.38657939434052,6,6.43564367294312,0.990099012851715,20.2970294952393,0.260804623365402
2000,YR2000,Morocco,MAR,0.129316881299019,9,54.950496673584,46.0396041870117,64.3564376831055,0.175045758485794
2000,YR2000,Ghana,GHA,0.154609143733978,9,57.4257431030273,48.0198020935059,64.8514862060547,0.175045758485794
2000,YR2000,Zambia,ZMB,-0.481924086809158,8,36.138614654541,26.7326736450195,45.5445556640625,0.175605073571205
2000,YR2000,Tunisia,TUN,-0.215819418430328,8,43.5643577575684,34.6534652709961,54.4554443359375,0.175605073571205
2000,YR2000,Lao PDR,LAO,-0.988136291503906,7,20.2970294952393,6.93069314956665,32.1782188415527,0.238716572523117
2000,YR2000,Singapore,SGP,1.29852151870728,9,86.1386108398438,82.6732635498047,92.0792083740234,0.16362752020359
2000,YR2000,Malaysia,MYS,0.273118376731873,10,60.3960380554199,52.4752464294434,66.3366317749023,0.159514054656029
2000,YR2000,Cambodia,KHM,-1.05912947654724,8,16.8316841125488,7.42574262619019,26.7326736450195,0.177807003259659
2002,YR2002,Algeria,DZA,-0.630158603191376,9,33.1683158874512,18.811882019043,42.5742568969727,0.184594824910164
2002,YR2002,Sierra Leone,SLE,-1.23684108257294,9,9.90099048614502,2.97029709815979,21.2871284484863,0.219548657536507
2002,YR2002,Morocco,MAR,-0.0203135255724192,11,52.9702987670898,44.5544548034668,59.9009895324707,0.174024790525436
2002,YR2002,Ghana,GHA,0.042411845177412,11,55.4455451965332,46.0396041870117,62.3762359619141,0.179337799549103
2002,YR2002,Zambia,ZMB,-0.310705542564392,11,43.5643577575684,33.6633682250977,52.9702987670898,0.179337799549103
2002,YR2002,Tunisia,TUN,-0.121974855661392,10,49.5049514770508,40.0990104675293,58.4158401489258,0.175409153103828
2002,YR2002,Lao PDR,LAO,-1.15466821193695,8,12.3762378692627,3.96039605140686,25.7425746917725,0.227855622768402
2002,YR2002,Singapore,SGP,1.40674901008606,9,89.6039581298828,83.6633682250977,94.5544586181641,0.177993848919868
2002,YR2002,Malaysia,MYS,0.450834661722183,11,64.8514862060547,58.4158401489258,73.2673263549805,0.170627370476723
2002,YR2002,Cambodia,KHM,-1.14305150508881,9,12.8712873458862,5.44554471969604,23.7623767852783,0.187710002064705
2003,YR2003,Algeria,DZA,-0.587644040584564,10,31.6831684112549,19.3069305419922,44.5544548034668,0.179899901151657
2003,YR2003,Sierra Leone,SLE,-1.12346267700195,10,13.8613862991333,4.45544576644897,26.2376232147217,0.218046262860298
2003,YR2003,Morocco,MAR,-0.0757260173559189,12,50.4950485229492,43.0693054199219,60.8910903930664,0.177810683846474
2003,YR2003,Ghana,GHA,0.0689030662178993,12,54.4554443359375,46.0396041870117,63.3663368225098,0.174409195780754
2003,YR2003,Zambia,ZMB,-0.390431553125381,12,41.5841598510742,28.7128715515137,49.0098991394043,0.174409195780754
2003,YR2003,Tunisia,TUN,-0.143253028392792,10,48.0198020935059,40.5940589904785,59.4059410095215,0.179899901151657
